type,filter,year,prevision,simulacionpercentage,simulacion
empleo,pf-1-idc-4-vdc-1,2026,20525.6,-0.2196,20480
empleo,pf-1-idc-4-vdc-2,2023,19456.3,0.1018,19476
empleo,pf-1-idc-4-vdc-2,2024,19903.8,-0.07,19890
empleo,pf-1-idc-4-vdc-2,2025,20222.2,-0.2021,20181
empleo,pf-1-idc-4-vdc-2,2026,20525.6,-0.3728,20449
empleo,pf-2-idc-1-vdc-1,2023,19456.3,-0.1814,19421
empleo,pf-2-idc-1-vdc-1,2024,19903.8,-0.1491,19874
empleo,pf-2-idc-1-vdc-1,2025,20222.2,-0.169,20188
empleo,pf-2-idc-1-vdc-1,2026,20525.6,-0.1345,20498
empleo,pf-2-idc-1-vdc-2,2023,19456.3,-0.0289,19451
empleo,pf-2-idc-1-vdc-2,2024,19903.8,0.2194,19947
empleo,pf-2-idc-1-vdc-2,2025,20222.2,0.1742,20257
empleo,pf-2-idc-1-vdc-2,2026,20525.6,-0.0599,20513
empleo,pf-2-idc-2-vdc-1,2023,19456.3,-0.777,19305
empleo,pf-2-idc-2-vdc-1,2024,19903.8,-0.3468,19835
empleo,pf-2-idc-2-vdc-1,2025,20222.2,0.0238,20227
empleo,pf-2-idc-2-vdc-1,2026,20525.6,0.0975,20546
empleo,pf-2-idc-2-vdc-2,2023,19456.3,-0.4806,19363
empleo,pf-2-idc-2-vdc-2,2024,19903.8,-0.4570,19813
empleo,pf-2-idc-2-vdc-2,2025,20222.2,-0.5717,20107
empleo,pf-2-idc-2-vdc-2,2026,20525.6,-1.0244,20315
empleo,pf-2-idc-3-vdc-1,2023,19456.3,0.036,19463
empleo,pf-2-idc-3-vdc-1,2024,19903.8,0.2026,19944
empleo,pf-2-idc-3-vdc-1,2025,20222.2,-0.2249,20177
empleo,pf-2-idc-3-vdc-1,2026,20525.6,-0.3768,20448
empleo,pf-2-idc-3-vdc-2,2023,19456.3,0.2870,19512
empleo,pf-2-idc-3-vdc-2,2024,19903.8,0.6964,20042
empleo,pf-2-idc-3-vdc-2,2025,20222.2,0.7209,20368
empleo,pf-2-idc-3-vdc-2,2026,20525.6,0.2820,20583
empleo,pf-2-idc-4-vdc-1,2023,19456.3,-0.3872,19381
empleo,pf-2-idc-4-vdc-1,2024,19903.8,-0.2476,19854
empleo,pf-2-idc-4-vdc-1,2025,20222.2,-0.2577,20170
empleo,pf-2-idc-4-vdc-1,2026,20525.6,-0.2242,20480
empleo,pf-2-idc-4-vdc-2,2023,19456.3,-0.2561,19406
empleo,pf-2-idc-4-vdc-2,2024,19903.8,-0.1218,19880
empleo,pf-2-idc-4-vdc-2,2025,20222.2,-0.2199,20178
empleo,pf-2-idc-4-vdc-2,2026,20525.6,-0.3718,20449
empleo,pf-3-idc-1-vdc-1,2023,19456.3,-0.2052,19416
empleo,pf-3-idc-1-vdc-1,2024,19903.8,0.01,19906
empleo,pf-3-idc-1-vdc-1,2025,20222.2,0.0053,20223
empleo,pf-3-idc-1-vdc-1,2026,20525.6,0.045,20535
empleo,pf-3-idc-1-vdc-2,2023,19456.3,-0.0150,19453
empleo,pf-3-idc-1-vdc-2,2024,19903.8,0.4758,19998
empleo,pf-3-idc-1-vdc-2,2025,20222.2,0.4374,20311
empleo,pf-3-idc-1-vdc-2,2026,20525.6,0.1292,20552
empleo,pf-3-idc-2-vdc-1,2023,19456.3,-0.9534,19271
empleo,pf-3-idc-2-vdc-1,2024,19903.8,-0.2401,19856
empleo,pf-3-idc-2-vdc-1,2025,20222.2,0.245,20272
empleo,pf-3-idc-2-vdc-1,2026,20525.6,0.3378,20595
empleo,pf-3-idc-2-vdc-2,2023,19456.3,-0.586,19342
empleo,pf-3-idc-2-vdc-2,2024,19903.8,-0.3727,19830
empleo,pf-3-idc-2-vdc-2,2025,20222.2,-0.5001,20121
empleo,pf-3-idc-2-vdc-2,2026,20525.6,-1.0800,20304
empleo,pf-3-idc-3-vdc-1,2023,19456.3,0.0619,19468
empleo,pf-3-idc-3-vdc-1,2024,19903.8,0.453,19994
empleo,pf-3-idc-3-vdc-1,2025,20222.2,-0.0633,20209
empleo,pf-3-idc-3-vdc-1,2026,20525.6,-0.2592,20472
empleo,pf-3-idc-3-vdc-2,2023,19456.3,0.3810,19530
empleo,pf-3-idc-3-vdc-2,2024,19903.8,1.0763,20118
empleo,pf-3-idc-3-vdc-2,2025,20222.2,1.1263,20450
empleo,pf-3-idc-3-vdc-2,2026,20525.6,0.5621,20641
empleo,pf-3-idc-4-vdc-1,2023,19456.3,-0.4623,19366
empleo,pf-3-idc-4-vdc-1,2024,19903.8,-0.1181,19880
empleo,pf-3-idc-4-vdc-1,2025,20222.2,-0.1151,20199
empleo,pf-3-idc-4-vdc-1,2026,20525.6,-0.0785,20509
empleo,pf-3-idc-4-vdc-2,2023,19456.3,-0.3023,19397
empleo,pf-3-idc-4-vdc-2,2024,19903.8,0.0419,19912
empleo,pf-3-idc-4-vdc-2,2025,20222.2,-0.0654,20209
empleo,pf-3-idc-4-vdc-2,2026,20525.6,-0.2627,20472
empleo,pf-4-idc-1-vdc-1,2023,19456.3,0.1917,19494
empleo,pf-4-idc-1-vdc-1,2024,19903.8,-0.0352,19897
empleo,pf-4-idc-1-vdc-1,2025,20222.2,-0.0751,20207
empleo,pf-4-idc-1-vdc-1,2026,20525.6,-0.0627,20513
empleo,pf-4-idc-1-vdc-2,2023,19456.3,0.3789,19530
empleo,pf-4-idc-1-vdc-2,2024,19903.8,0.4106,19985
empleo,pf-4-idc-1-vdc-2,2025,20222.2,0.3228,20288
empleo,pf-4-idc-1-vdc-2,2026,20525.6,0.008,20527
empleo,pf-4-idc-2-vdc-1,2023,19456.3,-0.4803,19363
empleo,pf-4-idc-2-vdc-1,2024,19903.8,-0.1725,19869
empleo,pf-4-idc-2-vdc-1,2025,20222.2,0.2542,20274
empleo,pf-4-idc-2-vdc-1,2026,20525.6,0.2913,20585
empleo,pf-4-idc-2-vdc-2,2023,19456.3,-0.1195,19433
empleo,pf-4-idc-2-vdc-2,2024,19903.8,-0.3337,19837
empleo,pf-4-idc-2-vdc-2,2025,20222.2,-0.5002,20121
empleo,pf-4-idc-2-vdc-2,2026,20525.6,-1.0603,20308
empleo,pf-4-idc-3-vdc-1,2023,19456.3,0.4115,19536
empleo,pf-4-idc-3-vdc-1,2024,19903.8,0.33,19969
empleo,pf-4-idc-3-vdc-1,2025,20222.2,-0.2279,20176
empleo,pf-4-idc-3-vdc-1,2026,20525.6,-0.4259,20438
empleo,pf-4-idc-3-vdc-2,2023,19456.3,0.7304,19598
empleo,pf-4-idc-3-vdc-2,2024,19903.8,0.9406,20091
empleo,pf-4-idc-3-vdc-2,2025,20222.2,0.9322,20411
empleo,pf-4-idc-3-vdc-2,2026,20525.6,0.3702,20602
empleo,pf-4-idc-4-vdc-1,2023,19456.3,-0.0249,19451
empleo,pf-4-idc-4-vdc-1,2024,19903.8,-0.1067,19883
empleo,pf-4-idc-4-vdc-1,2025,20222.2,-0.1448,20193
empleo,pf-4-idc-4-vdc-1,2026,20525.6,-0.1441,20496
empleo,pf-4-idc-4-vdc-2,2023,19456.3,0.1311,19482
empleo,pf-4-idc-4-vdc-2,2024,19903.8,0.039,19912
empleo,pf-4-idc-4-vdc-2,2025,20222.2,-0.1065,20201
empleo,pf-4-idc-4-vdc-2,2026,20525.6,-0.3264,20459
empleo,prevision,2023,19456.3,2.1,19456.3
empleo,prevision,2024,19903.8,2.3,19903.8
empleo,prevision,2025,20222.2,1.6,20222.2
empleo,prevision,2026,20525.6,1.5,20525.6
